Age;Sexe;Situation_Pro;Duree_LM;Budget_LM;Type_Voyage;Dimache_Type;Pref_Destinations_TropicalesSoleil;Pref_Destinations_HistoireCulture ;Pref_Destinations_SportAventure;Pref_Destinations_CalmesIsoles;Pref_Destinations_VillesDynamiquesModernes;Pref_Destinations_ConfortLuxe;Budget_LM_ExperiencesUniques;Budget_LM_HebergementEconomiques_Activites;Pref_Destinations_GastronomieLocale;Budget_LM_Cout_ActivitesExcursions;Pref_Nature;Pref_ActivitesCulturelles;Pref_Bien-etre;Pref_VieNocturne;Accessoire_LM;Pref_Destinations_HiverVersChaudes;Pref_Destinations_Calmes;Pref_Destinations_Similaires;Pref_Activites_Similaires;Pref_Budget_Similaires;Destination_LM
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;4;4;4;5;2;1;3;4;5;3;4;Une huile de massage parfumee et sensuelle;5;3;5;4;4;Une ile paradisiaque peu importe laquelle 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;4;4;2;3;4;4;4;2;4;4;3;4;4;4;Une tenue speciale pour les soirees inoubliables;2;3;4;4;3;Hawai
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);5;5;4;5;5;5;4;3;5;3;5;2;5;3;Une tenue speciale pour les soirees inoubliables;3;5;5;5;5;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;Moins d'une semaine;moins de 2000?;Voyage en itinerance (road trip);Faire une seance de sport;5;3;5;5;2;1;4;5;3;5;5;2;1;3;Une huile de massage parfumee et sensuelle;5;1;3;3;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip), Voyage sur mesure;Netflix and chill;3;5;3;3;5;3;3;4;5;5;5;5;5;5;Une tenue speciale pour les soirees inoubliables;4;4;4;4;4;Le Bresil
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Netflix and chill;5;2;3;4;2;5;5;1;4;5;2;1;4;4;Une huile de massage parfumee et sensuelle;5;4;5;5;5;La Polynesie Francaise 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);4;4;3;3;5;3;4;4;1;2;4;2;4;2;Une huile de massage parfumee et sensuelle;4;2;4;4;4;Les Maldives ou les Seychelles
18-24 ans;Homme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Faire une seance de sport;5;4;5;5;3;2;3;4;3;5;5;3;5;4;Une huile de massage parfumee et sensuelle;3;3;5;3;3;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Netflix and chill;5;4;1;3;3;4;4;2;4;3;1;3;1;5;Une playlist privee pour des moments passionnes;4;3;4;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
25-34 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Visite culturelle;5;5;2;2;3;2;3;5;5;4;4;5;4;4;Une tenue speciale pour les soirees inoubliables;4;2;3;2;2;Une aventure vous attend ! Faire un circuit incluant detente et decouvertes culturelles. 
25-34 ans;Femme;Independant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);4;3;3;3;2;5;4;3;4;3;4;3;5;4;Une tenue speciale pour les soirees inoubliables;4;4;5;4;2;Bora bora
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Visite culturelle;4;4;4;4;3;3;4;2;5;4;3;4;5;2;Un coffret d'epices pour des surprises culinaires et autres;5;4;4;3;5;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;5;2;5;5;2;3;5;5;4;5;5;Une tenue speciale pour les soirees inoubliables;5;5;3;5;3;L'Ile Maurice / Jamaique 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;5;5;4;3;5;5;3;4;3;5;2;5;4;Une huile de massage parfumee et sensuelle;5;3;5;5;5;Bali
18-24 ans;Femme;Etudiant;Moins d'une semaine;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Netflix and chill;5;5;4;2;5;3;2;4;5;5;5;2;5;5;Un coffret d'epices pour des surprises culinaires et autres;5;5;4;1;4;La Malaisie
18-24 ans;Homme;Etudiant;1 a 2 semaines;Plus de 10 000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Netflix and chill;4;5;3;2;3;2;5;3;5;5;5;5;2;5;Une tenue speciale pour les soirees inoubliables;1;1;3;2;5;Rio
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Netflix and chill;4;5;3;4;2;3;5;4;5;4;5;5;3;5;Une tenue speciale pour les soirees inoubliables;5;4;4;5;5;La Malaisie
18-24 ans;Homme;Etudiant;Moins d'une semaine;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Faire une seance de sport;2;4;4;5;3;3;4;5;3;3;4;1;4;5;Un coffret d'epices pour des surprises culinaires et autres;5;5;4;4;5;La Laponi
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance de sport;5;5;5;4;3;4;5;4;5;3;5;4;5;5;Une playlist privee pour des moments passionnes;4;2;4;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;1 a 2 semaines;moins de 2000?;Sejour tout inclus;Faire une seance de sport;3;3;3;3;3;2;2;2;2;2;1;1;1;1;Une huile de massage parfumee et sensuelle;1;1;4;4;4;Abidjan
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Netflix and chill;5;5;3;3;5;3;4;3;3;3;3;3;3;3;Une tenue speciale pour les soirees inoubliables;5;3;5;5;5;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;Moins d'une semaine;moins de 2000?;Sejour tout inclus, Croisiere, Voyage sur mesure;Netflix and chill;5;3;3;3;4;4;4;2;5;3;3;3;4;4;Une tenue speciale pour les soirees inoubliables;3;5;4;4;4;Bali
45-54 ans;Femme;Independant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Croisiere;Faire une seance de sport;3;2;4;3;4;1;5;3;3;2;1;3;5;5;Un coffret d'epices pour des surprises culinaires et autres;2;4;3;4;5;Les Maldives ou les Seychelles
18-24 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Croisiere;Netflix and chill;3;5;5;4;5;3;4;3;4;4;4;3;3;4;Une tenue speciale pour les soirees inoubliables;4;3;3;4;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Visite culturelle;3;4;2;4;4;5;3;2;4;5;2;5;3;4;Une playlist privee pour des moments passionnes;3;3;3;4;4;Paris
18-24 ans;Homme;Etudiant;Plus de 3 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;4;3;4;3;5;5;3;3;3;4;4;5;5;Une tenue speciale pour les soirees inoubliables;4;4;4;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Croisiere, Voyage sur mesure;Tester un nouvel hobbie;2;1;4;4;3;2;3;4;3;4;3;3;4;2;Un coffret d'epices pour des surprises culinaires et autres;3;3;3;3;3;Malte
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Croisiere, Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;4;2;3;3;4;4;2;3;4;2;3;5;4;Une playlist privee pour des moments passionnes;3;3;4;4;3;Les maldives 100% detente
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Voyage en itinerance (road trip);Visite culturelle;4;3;5;2;1;3;5;3;5;3;5;2;3;5;Une playlist privee pour des moments passionnes;3;3;4;4;3;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;1 a 2 semaines;Plus de 10 000 ?;Sejour tout inclus;Netflix and chill;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Une playlist privee pour des moments passionnes;5;5;5;5;5;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;1 a 2 semaines;moins de 2000?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;5;5;3;3;4;4;5;5;5;5;5;Une huile de massage parfumee et sensuelle;3;5;4;5;5;La Grece 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Croisiere;Faire une seance de sport;5;4;3;2;4;3;4;4;3;4;2;3;4;5;Un coffret d'epices pour des surprises culinaires et autres;2;3;2;1;2;Le Mexique
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;3;3;4;4;3;2;2;2;4;3;3;4;4;Un coffret d'epices pour des surprises culinaires et autres;4;2;3;3;3;La Malaisie 
18-24 ans;Homme;Etudiant;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);5;5;3;5;3;4;4;4;4;3;5;3;4;5;Un coffret d'epices pour des surprises culinaires et autres;4;3;5;5;5;Bali
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);4;5;3;3;4;5;5;1;4;3;3;4;5;5;Une playlist privee pour des moments passionnes;1;4;4;4;3;Les Maldives ou les Seychelles
25-34 ans;Homme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;4;5;4;2;5;5;3;4;3;5;3;5;3;Une huile de massage parfumee et sensuelle;5;2;5;5;5;Le Zanzibar
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Netflix and chill;5;4;4;5;5;4;3;3;5;4;3;3;3;3;Une huile de massage parfumee et sensuelle;3;3;3;3;3;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;Moins d'une semaine;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;2;4;1;5;4;3;3;5;4;3;2;5;5;Une huile de massage parfumee et sensuelle;5;4;5;5;5;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;4;2;4;3;4;3;3;4;3;3;2;4;3;Une playlist privee pour des moments passionnes;5;2;3;3;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
